,X,Y,sigma_X,sigma_Y,Z,u,v,sigma_u,sigma_v,h,k,l,n,d_hkl,theta,sigma_theta,lambda_the,lambda_exp,sigma_lambda,lambda_error
10,12.761515189583234,-4.077180430680646,1.9096103421715496,2.2031042130327374,4.438352662312106,2.8752819256447455,-0.9186247107629993,0.4556810109358047,0.4777399574397785,3,-1,1,11,170.05842856875023,0.31991444906376565,0.0436918792618634,102.5490909090909,106.961769363317,14.10636533531971,4.3029912943235225
11,0.4360483398067503,13.221822230343523,2.7647127524361754,1.435635839156029,4.338458345316813,0.10050767002925048,3.0475853812486036,0.6363749113547643,0.38293511390714335,0,6,2,40,89.17939229440846,0.31689805011493344,0.037084104950701205,56.401999999999994,55.58026634083622,6.284928730037453,1.4569229090524736
12,4.3112710089254005,-12.566681195749464,2.670090859825212,1.3412921541122955,4.372048050815639,0.9860987250863128,-2.874323669293857,0.5304155671959816,0.4647641901190245,1,-3,1,11,170.05842856875023,0.31791808155683077,0.038311961507139,102.5490909090909,106.31700919361538,12.377560739406622,3.674258105188572
13,-13.085601334362837,0.4763945327131558,1.873104828636734,2.304608039761097,4.258928860856656,-3.072509957757489,0.11185782817169013,0.4508037556073495,0.5406959915298639,-6,0,2,40,89.17939229440846,0.31445920434008484,0.043092266344526696,56.401999999999994,55.16677148874068,7.308997595297733,2.1900438127359227
14,14.19490345512015,0.1154868644008406,2.093237236802598,2.067558680250271,4.923974814940603,2.8828139843545033,0.023453991691920077,0.4179512176403403,0.4198970386965855,6,0,2,40,89.17939229440846,0.33388529996260663,0.04488713996435287,56.401999999999994,58.45106876308933,7.563893130947774,3.632971814987656
15,-9.474773261075304,10.256927172576695,1.7869115781299385,2.194872375227517,4.781042192409235,-1.9817380562167415,2.145332912740535,0.449856523302894,0.38331116385985003,-4,4,2,36,94.00333333333333,0.3298870909316029,0.04413374951094525,62.66888888888889,60.90216697387145,7.850032294377499,2.819137129030338
16,0.0783767026489994,-13.996758544605363,2.6429440057702456,1.117025620508143,4.801653287941676,0.01632285755529782,-2.9149873398304758,0.5503996646334116,0.31484020218555697,0,-6,2,40,89.17939229440846,0.3304692760335099,0.033146956258703265,56.401999999999994,57.87509760611852,5.592150787798094,2.6117825717501666
17,10.593064258149406,10.349688471086113,1.6506432351583826,2.1620356568563905,5.30942002336856,1.995145272275641,1.9493067840806757,0.4003436498544456,0.3268372929453491,4,4,2,36,94.00333333333333,0.34423423505677014,0.04185498144504329,62.66888888888889,63.447725726562304,7.407373105065307,1.2427806707316678
18,-10.419935155137768,-10.089457387948825,1.816342495093528,2.156606141185563,5.116491927204507,-2.0365389613408222,-1.9719482668003334,0.4150462503345709,0.3634914613816428,-4,-4,2,36,94.00333333333333,0.33913062063069127,0.04310560408449461,62.66888888888889,62.543680477122976,7.642563399964115,0.19979357219481547
19,11.042566537961624,-10.767820845545325,1.4981996021013524,2.151864956401059,5.704097567869361,1.9359007111244644,-1.887734337890613,0.370681408654146,0.2856716116321625,4,-4,2,36,94.00333333333333,0.3542318581029703,0.040344967330923354,62.66888888888889,65.21387570179157,7.114186903476132,4.061005162250293
20,-8.052081975457563,17.555479371931444,1.964636840290639,1.5144737841779807,8.401342392344354,-0.9584280225020884,2.089604083738893,0.21414338741618869,0.22846719543713687,-2,4,2,24,115.13010039371402,0.4102992363242317,0.03457684107642727,94.00333333333334,91.84705144434321,7.300863697556277,2.293835561494418
21,-16.790336731076813,9.114367609238958,1.6858654755993383,2.2177000821248485,8.248563855176752,-2.0355466752602385,1.10496418155493,0.2529408211807013,0.23540279864708166,-4,2,2,24,115.13010039371402,0.40758009974479315,0.03653031068040976,94.00333333333334,91.27256977267773,7.722431478220479,2.904964604789494
22,-17.70084699793459,-8.317374427835782,2.072936561609911,2.472310378501218,8.580043299759815,-2.063025369397623,-0.969386066859198,0.2585671601208524,0.26446698319153533,-4,-2,2,24,115.13010039371402,0.4134230239681146,0.03894760065206813,94.00333333333334,92.50618672990095,8.21253040550515,1.5926526755424255
23,9.292748174760016,17.940753878244433,2.224285556327238,1.376081988561653,9.059671438494007,1.0257268420657817,1.9802874751081185,0.20422686580362953,0.22706745693872746,2,4,2,24,115.13010039371402,0.4215196539129668,0.03383886152580034,94.00333333333334,94.21039951904704,7.109718000252604,0.22027536510801005
24,-9.255624810933316,-18.042096083272977,2.441955594202407,2.160242813117104,9.114273394631443,-1.0155087970463046,-1.979542998337121,0.24880599782378213,0.24443910778437794,-2,-4,2,24,115.13010039371402,0.42241595947258753,0.03873744645057357,94.00333333333334,94.39868003676676,8.135661455480191,0.420566685684995
25,18.73308655248947,9.26125899212968,1.8655682971792376,2.151847174591958,9.58078044404046,1.9552777210485004,0.9666497469828219,0.21430947089580393,0.21040408473658434,4,2,2,24,115.13010039371402,0.4298740303288882,0.03568555499369587,94.00333333333334,95.96238862789936,7.46936942487959,2.0840274755143575
26,9.606560252878412,-18.960810008052416,2.278371224173516,1.7440879744199151,9.853156303256618,0.9749728875916945,-1.924338701679337,0.20556737970223746,0.213674220030417,2,-4,2,24,115.13010039371402,0.43407049418598254,0.03491595861308195,94.00333333333334,96.83990598417205,7.294159587833607,3.017523475237088
27,19.29994260860614,-9.39471513636109,2.1846799366551464,2.3379932507785,10.013362118618733,1.9274188209692371,-0.9382178558081566,0.21640665627164737,0.22356723427552308,4,-2,2,24,115.13010039371402,0.4364870514450859,0.03732845767917023,94.00333333333334,97.34445648200233,7.789387219574576,3.5542602907722958
28,0.6223957656377361,23.312932968857428,4.192155111163647,1.7975030382456392,11.459806857810921,0.05431119157244048,2.0343216302085843,0.3654748032078844,0.16873478391153934,0,4,2,20,126.11870606694313,0.4567353239324817,0.032720571475307055,112.80399999999999,111.24185074969209,7.407359454180093,1.3848349795290034
